,,,
1,Київ,Голосiївський,Київ
2,Київ,Дарницький,Київ
3,Київ,Деснянський,Київ
4,Київ,Днiпровський,Київ
5,Київ,Оболонський,Київ
6,Київ,Печерський,Київ
7,Київ,Подiльський,Київ
8,Київ,Святошинський,Київ
9,Київ,Солом'янський,Київ
10,Київ,Шевченківський,Київ
11,Чернігівська,Ніжинський,Ніжин
12,Чернігівська,Ніжинський,Мильники
13,Чернігівська, Новозаводський,Чернігів
14,Чернігівська,Чернігівський,Новоселівка
15,Сумська,Конотопський,Конотоп
16,Кіровоградська,Подiльський,Кропивницький
17,Кіровоградська,Фортечний,Кропивницький
18,Черкаська,Уманський,Умань
19,Київська,Білоцерківський,Біла Церква
20,Київська,Білоцерківський,Тараща
21,Черкаська,Соснівський,Черкаси
22,Черкаська,Придніпровський,Черкаси
23,Житомирська,Богунський,Житомир
24,Житомирська,Корольовський,Житомир
25,Миколаївська,Вознесенський,Вознесенськ
26,Миколаївська,Первомайський,Шкуратове
27,Миколаївська,Баштанський,Трудолюбівка
28,Закарпатська,Ужгородський,Великі Геївці
29,Закарпатська,Ужгородський,Малі Геївці
30,Закарпатська,Ужгородський,Руські Геївці
