,,
1,124,110
2,308,142
3,112,144
4,421,396
5,86,97
6,185,272
7,30,280
8,318,168
9,420,327
10,91,82
11,432,121
12,493,481
13,145,287
14,467,145
15,277,32
16,408,499
17,317,500
18,170,371
19,75,169
20,478,437
21,480,493
22,83,183
23,68,364
24,313,361
25,357,450
26,382,327
27,254,444
28,254,489
29,334,382
30,135,429
31,209,158
32,131,99
33,288,440
34,99,492
35,332,456
36,181,472
37,359,178
38,143,456
39,401,288
40,481,306
41,152,251
42,358,263
43,182,265
44,238,171
45,438,241
46,346,498
47,93,355
48,419,178
49,204,362
50,151,135
51,248,94
52,351,420
53,404,366
54,343,294
55,480,167
56,189,455
57,496,188
58,200,322
59,171,445
60,124,193
61,371,428
62,367,475
63,81,150
64,357,447
65,219,375
66,365,37
67,46,32
68,303,206
69,357,233
70,299,396
71,418,231
72,456,492
73,65,373
74,288,213
75,440,137
76,56,291
77,486,151
78,414,265
79,84,280
80,334,314
81,43,278
82,417,460
83,149,272
84,402,477
85,415,185
86,375,249
87,258,251
88,230,223
89,272,65
90,190,382
91,409,136
92,264,422
93,151,405
94,257,271
95,296,469
96,323,294
97,292,394
98,131,401
99,236,191
100,426,340
101,75,106
102,113,227
103,302,98
104,95,142
105,341,263
106,353,86
107,433,283
108,112,312
109,77,151
110,129,183
111,482,346
112,227,182
113,251,340
114,430,302
115,377,152
116,399,296
117,185,493
118,160,466
119,364,351
120,127,164
121,347,420
122,380,285
123,488,80
124,320,140
125,170,28
126,388,284
127,327,371
128,327,215
129,140,398
130,133,206
131,243,131
132,96,190
133,90,376
134,485,429
135,102,386
136,165,437
137,408,493
138,488,499
139,299,374
140,323,33
141,224,461
142,192,474
143,124,97
144,84,182
145,190,185
146,425,439
147,500,269
148,204,141
149,454,301
150,446,116
151,433,148
152,321,499
153,270,471
154,395,135
155,500,83
156,263,470
157,488,136
158,307,234
159,82,100
160,175,332
161,77,181
162,103,280
163,293,335
164,426,108
165,266,281
166,428,250
167,373,472
168,414,268
169,454,59
170,304,263
171,251,453
172,273,222
173,342,336
174,351,398
175,241,469
176,252,414
177,336,280
178,414,158
179,499,432
180,395,187
181,283,465
182,118,484
183,355,490
184,68,73
185,367,498
186,468,72
187,470,195
188,181,153
189,264,207
190,359,154
191,94,232
192,427,98
193,373,430
194,123,400
195,369,122
196,436,185
197,362,371
198,232,252
199,289,498
200,189,404
201,401,125
202,235,295
203,338,404
204,254,297
205,341,437
206,412,58
207,76,92
208,243,179
209,485,490
210,360,98
211,476,488
212,32,263
213,434,299
214,204,184
215,458,477
216,82,120
217,243,121
218,154,90
219,394,312
220,296,473
221,406,194
222,392,269
223,71,438
224,337,40
225,405,347
226,200,329
227,206,358
228,180,496
229,263,449
230,256,428
231,203,488
232,81,215
233,155,235
234,360,332
235,229,163
236,399,173
237,433,300
238,122,374
239,396,45
240,243,280
241,127,83
242,202,420
243,345,391
244,322,318
245,211,116
246,68,380
247,411,390
248,434,491
249,305,373
250,237,449
251,42,117
252,159,478
253,251,424
254,255,282
255,130,325
256,147,180
257,442,350
258,366,255
259,237,59
260,399,256
261,161,242
262,253,478
263,36,368
264,372,387
265,146,430
266,345,138
267,370,174
268,459,343
269,255,126
270,280,359
271,141,161
272,377,138
273,307,150
